loan_id,document_status,promissory_note_vaulted,deed_of_trust_recorded,title_policy_attached,last_custody_audit_date
LN-0100001,MISSING_DOCS,YES,YES,YES,2025-11-03
LN-0100002,VERIFIED,YES,YES,YES,2026-01-21
LN-0100003,EXCEPTION_NOTED,YES,YES,YES,2025-12-12
LN-0100004,VERIFIED,YES,YES,YES,2025-11-17
LN-0100005,AUDIT_COMPLETE,YES,YES,YES,2025-12-14
LN-0100006,MISSING_DOCS,YES,YES,YES,2025-12-17
LN-0100007,AUDIT_COMPLETE,YES,YES,YES,2025-10-11
LN-0100008,AUDIT_COMPLETE,YES,YES,YES,2025-11-26
LN-0100009,MISSING_DOCS,YES,YES,YES,2026-01-11
LN-0100010,AUDIT_COMPLETE,YES,YES,YES,2025-12-15
LN-0100012,AUDIT_COMPLETE,YES,YES,YES,2025-12-12
LN-0100013,AUDIT_COMPLETE,YES,YES,YES,2026-01-06
LN-0100014,PENDING_REVIEW,YES,YES,YES,2025-12-09
LN-0100015,AUDIT_COMPLETE,YES,YES,YES,2026-01-06
LN-0100016,AUDIT_COMPLETE,YES,YES,NO,2026-01-01
LN-0100017,EXCEPTION_NOTED,YES,YES,YES,2025-10-08
LN-0100018,VERIFIED,YES,YES,YES,2025-12-28
LN-0100019,PENDING_REVIEW,YES,YES,YES,2025-11-10
LN-0100020,AUDIT_COMPLETE,YES,YES,YES,2025-10-17
LN-0100021,VERIFIED,YES,YES,YES,2025-12-16
LN-0100022,MISSING_DOCS,NO,YES,YES,2026-01-26
LN-0100023,VERIFIED,YES,YES,NO,2025-10-07
LN-0100024,VERIFIED,YES,YES,YES,2025-10-27
LN-0100025,MISSING_DOCS,YES,YES,YES,2025-11-29
LN-0100026,VERIFIED,YES,YES,YES,2025-11-09
LN-0100027,MISSING_DOCS,YES,NO,YES,2025-12-21
LN-0100028,EXCEPTION_NOTED,YES,YES,YES,2026-01-01
LN-0100029,MISSING_DOCS,YES,YES,YES,2025-10-15
LN-0100031,PENDING_REVIEW,YES,YES,YES,2025-11-14
LN-0100032,VERIFIED,YES,YES,YES,2025-12-17
LN-0100033,EXCEPTION_NOTED,YES,YES,YES,2025-12-08
LN-0100034,PENDING_REVIEW,YES,YES,YES,2025-10-17
LN-0100035,EXCEPTION_NOTED,YES,YES,NO,2026-01-27
LN-0100036,AUDIT_COMPLETE,YES,YES,YES,2025-11-26
LN-0100037,MISSING_DOCS,YES,YES,YES,2025-12-19
LN-0100038,VERIFIED,YES,YES,YES,2025-11-18
LN-0100039,MISSING_DOCS,YES,YES,YES,2025-11-23
LN-0100040,AUDIT_COMPLETE,YES,YES,YES,2025-10-09
LN-0100042,VERIFIED,YES,YES,YES,2025-10-24
LN-0100043,PENDING_REVIEW,YES,YES,YES,2026-01-22
LN-0100044,MISSING_DOCS,YES,YES,YES,2026-01-21
LN-0100045,PENDING_REVIEW,YES,YES,YES,2025-10-27
LN-0100046,MISSING_DOCS,YES,YES,YES,2025-11-05
LN-0100048,EXCEPTION_NOTED,YES,YES,YES,2025-12-15
LN-0100049,EXCEPTION_NOTED,YES,NO,YES,2025-12-04
LN-0100050,MISSING_DOCS,YES,YES,YES,2025-11-12
LN-0100051,AUDIT_COMPLETE,YES,YES,YES,2025-12-15
LN-0100052,PENDING_REVIEW,YES,YES,YES,2025-10-23
LN-0100053,AUDIT_COMPLETE,YES,YES,YES,2025-12-04
LN-0100054,VERIFIED,YES,YES,YES,2025-11-08
LN-0100055,AUDIT_COMPLETE,YES,NO,YES,2026-01-27
LN-0100056,PENDING_REVIEW,YES,YES,YES,2025-11-07
LN-0100057,AUDIT_COMPLETE,YES,YES,YES,2026-01-01
LN-0100058,PENDING_REVIEW,YES,YES,YES,2025-11-01
LN-0100059,MISSING_DOCS,NO,YES,YES,2025-11-06
LN-0100060,EXCEPTION_NOTED,YES,YES,YES,2025-12-20
LN-0100061,PENDING_REVIEW,YES,YES,YES,2025-10-24
LN-0100062,VERIFIED,NO,YES,YES,2025-10-06
LN-0100063,VERIFIED,YES,YES,YES,2025-12-12
LN-0100064,EXCEPTION_NOTED,YES,YES,YES,2025-10-28
LN-0100065,MISSING_DOCS,YES,YES,NO,2025-12-04
LN-0100066,PENDING_REVIEW,YES,YES,YES,2025-10-22
LN-0100067,VERIFIED,YES,YES,YES,2025-12-29
LN-0100068,EXCEPTION_NOTED,YES,YES,YES,2025-12-03
LN-0100069,MISSING_DOCS,YES,YES,YES,2025-12-24
LN-0100071,AUDIT_COMPLETE,YES,YES,YES,2026-01-10
LN-0100072,PENDING_REVIEW,YES,YES,YES,2025-12-26
LN-0100073,PENDING_REVIEW,YES,YES,YES,2025-10-20
LN-0100074,MISSING_DOCS,YES,YES,YES,2025-12-28
LN-0100075,EXCEPTION_NOTED,YES,YES,YES,2025-11-09
LN-0100076,MISSING_DOCS,YES,YES,YES,2025-11-19
LN-0100077,VERIFIED,YES,YES,YES,2025-10-17
LN-0100078,MISSING_DOCS,YES,YES,YES,2025-11-27
LN-0100079,PENDING_REVIEW,YES,YES,YES,2025-11-12
LN-0100080,MISSING_DOCS,YES,YES,YES,2025-12-15
LN-0100081,MISSING_DOCS,YES,YES,NO,2026-01-10
LN-0100082,MISSING_DOCS,YES,YES,YES,2025-12-08
LN-0100083,EXCEPTION_NOTED,YES,YES,YES,2026-01-01
LN-0100084,VERIFIED,YES,YES,YES,2025-11-30
LN-0100085,VERIFIED,YES,YES,YES,2025-11-10
LN-0100086,VERIFIED,YES,YES,YES,2025-10-27
LN-0100087,MISSING_DOCS,YES,YES,YES,2025-11-07
LN-0100088,VERIFIED,YES,YES,YES,2025-11-29
LN-0100089,AUDIT_COMPLETE,YES,YES,YES,2025-10-18
LN-0100090,AUDIT_COMPLETE,YES,YES,YES,2025-11-22
LN-0100091,EXCEPTION_NOTED,YES,YES,YES,2025-10-25
LN-0100092,PENDING_REVIEW,NO,YES,YES,2025-12-20
LN-0100093,PENDING_REVIEW,NO,YES,YES,2025-10-14
LN-0100094,EXCEPTION_NOTED,YES,YES,YES,2025-12-16
LN-0100095,AUDIT_COMPLETE,YES,NO,YES,2025-12-03
LN-0100196,MISSING_DOCS,YES,YES,YES,2025-12-14
LN-0100097,AUDIT_COMPLETE,NO,YES,YES,2025-10-14
LN-0100098,MISSING_DOCS,YES,YES,YES,2025-12-23
LN-0100099,MISSING_DOCS,YES,YES,YES,2025-12-25
LN-0100100,EXCEPTION_NOTED,YES,NO,YES,2026-01-24
LN-0100101,AUDIT_COMPLETE,NO,YES,YES,2026-01-07
LN-0100102,PENDING_REVIEW,YES,YES,YES,2025-10-06
