loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-0100001,BW-0050001,CONVENTIONAL,2023-10-31,2053-10-31,595234,563984.22,7.447,360,CA,PURCHASE,C,3-5 years,$75k-$120k,CURRENT,0,Freedom Mortgage Corporation,2026-01-19,2026-01-19,MISSING_DOCS,SERVICING_MSP_CORE
LN-0100002,BW-0050002,VA,2023-09-11,2038-09-11,302379,269453.29,10.401,180,TX,PURCHASE,D,1-2 years,$75k-$120k,CURRENT,0,Rocket Mortgage Servicing,2026-01-23,2025-12-22,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100003,BW-0050003,VA,2022-01-30,2042-01-30,315277,271138.22,6.988,240,VA,PURCHASE,C,10+ years,$40k-$75k,CURRENT,0,Rocket Mortgage Servicing,2026-01-04,2025-12-18,EXCEPTION_NOTED,CORE_BLACKKNIGHT_LPS
LN-0100004,BW-0050004,CONVENTIONAL,2024-07-21,2039-07-21,341487,317582.91,10.659,180,GA,PURCHASE,D,3-5 years,$75k-$120k,LATE_60,83,Wells Fargo Home Mortgage,2025-10-31,2026-01-06,VERIFIED,LOS_ENCOMPASS_PROD
LN-0100005,BW-0050005,CONVENTIONAL,2025-02-28,2055-02-28,404805,396146.67,6.804,360,CO,REFINANCE_RATE_TERM,C,1-2 years,$40k-$75k,CURRENT,0,Rocket Mortgage Servicing,2025-12-31,2026-01-26,AUDIT_COMPLETE,ORIGINATION_PORTAL_V2
LN-0100006,BW-0050006,FHA,2023-09-27,2053-09-27,320380,302937.09,10.404,360,NC,PURCHASE,D,3-5 years,$120k-$200k,CURRENT,0,Wells Fargo Home Mortgage,2026-01-08,2026-01-29,MISSING_DOCS,CORE_BLACKKNIGHT_LPS
LN-0100007,BW-0050007,CONVENTIONAL,2024-12-30,2054-12-30,554415,540400.62,5.272,360,MO,PURCHASE,A,10+ years,$40k-$75k,CURRENT,0,U.S. Bank Home Mortgage,2026-01-22,2026-01-20,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100008,BW-0050008,CONVENTIONAL,2024-02-12,2054-02-12,457959,437478.06,5.481,360,NY,PURCHASE,A,3-5 years,< $40k,LATE_30,45,Chase Home Lending,2025-12-04,2025-12-29,AUDIT_COMPLETE,LOS_ENCOMPASS_PROD
LN-0100009,BW-0050009,CONVENTIONAL,2023-03-14,2038-03-14,646610,561113.79,7.369,180,TX,REFINANCE_RATE_TERM,C,< 1 year,< $40k,CURRENT,0,PennyMac Financial Services,2026-01-12,2026-01-18,,LOS_ENCOMPASS_PROD
LN-0100010,BW-0050010,CONVENTIONAL,2024-11-15,2044-11-15,499272,478885.06,5.282,240,IL,PURCHASE,A,< 1 year,$120k-$200k,LATE_60,75,Chase Home Lending,2025-11-13,2025-12-18,AUDIT_COMPLETE,SERVICING_MSP_CORE
LN-0100011,BW-0050011,CONVENTIONAL,2024-09-12,2044-09-12,444059,423336.25,6.436,240,CA,REFINANCE_RATE_TERM,B,10+ years,$120k-$200k,CURRENT,0,Mr. Cooper Group,2026-01-23,2026-01-21,PENDING_REVIEW,ORIGINATION_PORTAL_V2
