loan_id,servicer_name,current_balance,payment_status,days_past_due,last_payment_date,servicer_as_of_date,data_source
LN-0100001,Freedom Mortgage Corporation,567857.19,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100002,Rocket Mortgage Servicing,269453.29,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100003,Rocket Mortgage Servicing,283947.77,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100004,Wells Fargo Home Mortgage,317582.91,LATE_60,83,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100005,Rocket Mortgage Servicing,384562.26,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100006,Wells Fargo Home Mortgage,302937.09,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100007,U.S. Bank Home Mortgage,531303.33,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100008,Chase Home Lending,437478.06,LATE_30,45,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100009,PennyMac Financial Services,574020.72,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100010,Chase Home Lending,478885.06,LATE_60,75,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100011,Mr. Cooper Group,419496.59,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100012,PennyMac Financial Services,291139.62,LATE_30,45,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100013,PennyMac Financial Services,820532.01,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100014,PennyMac Financial Services,554488.93,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100015,PennyMac Financial Services,323128.2,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100016,Mr. Cooper Group,1550454.15,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100017,PennyMac Financial Services,471240.98,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100018,Wells Fargo Home Mortgage,116972.95,PAID_OFF,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100019,Rocket Mortgage Servicing,324850.81,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100020,Freedom Mortgage Corporation,578753.55,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100021,Freedom Mortgage Corporation,280359.04,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100022,U.S. Bank Home Mortgage,411488.39,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100023,PennyMac Financial Services,172139.73,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100024,Freedom Mortgage Corporation,202376.91,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100025,U.S. Bank Home Mortgage,232069.92,LATE_30,35,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
LN-0100026,Freedom Mortgage Corporation,401433.89,CURRENT,0,2026-02-15,2026-02-20,SERVICER_PORTAL_API_FEED
